A,X,H,T,F,accession,domain_id,ec,organism_name,protein_name,gene_names,length,source_id,d_type,t_id,f_id,ecod_uid,range
a/b three-layered sandwiches,PLP-dependent transferases,PLP-dependent transferases,PLP-dependent transferases,Aminotran_1_2,A0A077Z5G3,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),Aspartate aminotransferase (EC 2.6.1.1),TTRE_0000219901,427,A0A077Z5G3_F1,AFDB,7577.1.1,7577.1.1.1,3507191,1-340
a/b three-layered sandwiches,PLP-dependent transferases,PLP-dependent transferases,PLP-dependent transferases,Aminotran_3,A0A077Z5K2,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),(S)-3-amino-2-methylpropionate transaminase (EC 2.6.1.19) (EC 2.6.1.22) (GABA aminotransferase) (Gamma-amino-N-butyrate transaminase) (L-AIBAT),TTRE_0000369301,469,A0A077Z5K2_F1,AFDB,7577.1.1,7577.1.1.2,3510647,1-375
beta sandwiches,Immunoglobulin-like beta-sandwich,FAH,FAH,FAA_hydrolase,A0A077Z8L3,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),oxaloacetate tautomerase (EC 5.3.2.2) (Fumarylacetoacetate hydrolase domain-containing protein 1),TTRE_0000426201,217,A0A077Z8L3_F1,AFDB,11.9.1,11.9.1.1,3519719,6-215
beta sandwiches,Composite domain of metallo-dependent hydrolases,Composite domain of metallo-dependent hydrolases,Composite domain of metallo-dependent hydrolases,Amidohydro_1,A0A077Z8M2,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25),TTRE_0000427201,416,A0A077Z8M2_F1,AFDB,65.1.1,65.1.1.3,3514958,"17-70,386-410"
alpha superhelices,Repetitive alpha hairpins,alpha/alpha toroid,alpha/alpha toroid,Trehalase,A0A077Z8P0,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),Trehalase (EC 3.2.1.28) (Alpha-trehalose glucohydrolase),TTRE_0000429201,1052,A0A077Z8P0_F1,AFDB,109.2.1,109.2.1.5,3505699,16-1045
beta sandwiches,jelly-roll,Galactose-binding domain-like,Galactose-binding domain-like,Glyco_hydro_2_N2,A0A077ZBC0,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),beta-mannosidase (EC 3.2.1.25) (Mannanase),TTRE_0000422401,1615,A0A077ZBC0_F1,AFDB,10.32.1,10.32.1.88,3516585,56-250
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,DeoC,A0A077ZCG9,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),2-deoxy-D-ribose 5-phosphate aldolase (EC 3.1.1.29) (EC 3.1.3.2) (EC 4.1.2.4) (Phosphodeoxyriboaldolase),TTRE_0000550901,555,A0A077ZCG9_F1,AFDB,2002.1.1,2002.1.1.76,3508136,11-310
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,DeoC,A0A077ZCG9,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),2-deoxy-D-ribose 5-phosphate aldolase (EC 3.1.1.29) (EC 3.1.3.2) (EC 4.1.2.4) (Phosphodeoxyriboaldolase),TTRE_0000550901,555,A0A077ZCG9_F1,AFDB,2002.1.1,2002.1.1.76,3508136,11-310
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,DeoC,A0A077ZCG9,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),2-deoxy-D-ribose 5-phosphate aldolase (EC 3.1.1.29) (EC 3.1.3.2) (EC 4.1.2.4) (Phosphodeoxyriboaldolase),TTRE_0000550901,555,A0A077ZCG9_F1,AFDB,2002.1.1,2002.1.1.76,3508136,11-310
a/b three-layered sandwiches,PLP-dependent transferases,PLP-dependent transferases,PLP-dependent transferases,Aminotran_1_2,A0A077ZCV8,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),alanine transaminase (EC 2.6.1.2),TTRE_0000649701,535,A0A077ZCV8_F1,AFDB,7577.1.1,7577.1.1.1,3517576,41-535
a+b two layers,a+b domain in D-aminoacid aminotransferase-like PLP-dependent enzymes,a+b domain in D-aminoacid aminotransferase-like PLP-dependent enzymes,a+b domain in D-aminoacid aminotransferase-like PLP-dependent enzymes,Aminotran_4,A0A077ZDQ7,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),branched-chain-amino-acid transaminase (EC 2.6.1.42),TTRE_0000682901,309,A0A077ZDQ7_F1,AFDB,4020.1.1,4020.1.1.1,3501733,6-125
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,NanE,A0A077ZDW5,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),N-acylglucosamine-6-phosphate 2-epimerase (EC 5.1.3.9),TTRE_0000598601,196,A0A077ZDW5_F1,AFDB,2002.1.1,2002.1.1.129,3513989,1-190
beta barrels,cradle loop barrel,RIFT-related,PK beta-barrel domain-like,PK,A0A077ZEA4,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),Pyruvate kinase (EC 2.7.1.40),TTRE_0000702701,574,A0A077ZEA4_F1,AFDB,1.1.15,1.1.15.1,3506825,156-255
alpha superhelices,Repetitive alpha hairpins,alpha/alpha toroid,alpha/alpha toroid,GlcNAc_2-epim,A0A077ZEF9,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),N-acylglucosamine 2-epimerase (EC 5.1.3.8) (GlcNAc 2-epimerase) (N-acetyl-D-glucosamine 2-epimerase) (Renin-binding protein),TTRE_0000704601,368,A0A077ZEF9_F1,AFDB,109.2.1,109.2.1.22,3520241,1-365
mixed a+b and a/b,Ribonuclease H-like,Ribonuclease H-like,Ribonuclease H-like,FGGY_N,A0A077ZEN7,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),FGGY C and FGGY N and AP endonuc 2 and Aldolase I I and OMPdecase domain containing protein,TTRE_0000629401,1120,A0A077ZEN7_F1,AFDB,2484.1.1,2484.1.1.6,3514584,1-205
beta sandwiches,Composite domain of metallo-dependent hydrolases,Composite domain of metallo-dependent hydrolases,Composite domain of metallo-dependent hydrolases,Amidohydro_1,A0A077ZFC4,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25),TTRE_0000686301,406,A0A077ZFC4_F1,AFDB,65.1.1,65.1.1.3,3511567,16-70
a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,P-loop containing nucleoside triphosphate hydrolases,,A0A077ZI25,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),phosphoacetylglucosamine mutase (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase),TTRE_0000836901,959,A0A077ZI25_F1,AFDB,2004.1.1,NO_F_GROUP,3511644,11-260
a/b three-layered sandwiches,"The ""swivelling"" beta/beta/alpha domains","The ""swivelling"" beta/beta/alpha domain","The ""swivelling"" beta/beta/alpha domain",CPSase_sm_chain,A0A077ZIG0,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),CAD protein,TTRE_0000773201,2048,A0A077ZIG0_F1,AFDB,2487.1.1,2487.1.1.5,3507014,1-155
a/b three-layered sandwiches,beta-carbonic anhydrase-like,beta-carbonic anhydrase,beta-carbonic anhydrase,Pro_CA,A0A077ZIQ8,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase),TTRE_0000782801,198,A0A077ZIQ8_F1,AFDB,4126.1.1,4126.1.1.1,3501751,6-195
alpha superhelices,Repetitive alpha hairpins,alpha/alpha toroid,alpha/alpha toroid,Trehalase,A0A077ZJ66,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),"Trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)",TTRE_0000882601,390,A0A077ZJ66_F1,AFDB,109.2.1,109.2.1.5,3508919,1-365
alpha superhelices,Repetitive alpha hairpins,alpha/alpha toroid,alpha/alpha toroid,Trehalase,A0A077ZK08,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),Trehalase (EC 3.2.1.28) (Alpha-trehalose glucohydrolase),TTRE_0000728901,565,A0A077ZK08_F1,AFDB,109.2.1,109.2.1.5,3506759,6-540
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,F_bP_aldolase,A0A077ZPT8,nD1,4.3.1.27,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),tagatose-bisphosphate aldolase (EC 4.1.2.40) (D-tagatose-bisphosphate aldolase class II) (Tagatose-bisphosphate aldolase),TTRE_0000915301,284,A0A077ZPT8_F1,AFDB,2002.1.1,2002.1.1.50,3504823,1-284
alpha superhelices,Repetitive alpha hairpins,alpha/alpha toroid,alpha/alpha toroid,Glyco_hydro_100,A0A096RVL5,nD1,4.3.1.27,Zea mays (Maize),Alkaline/neutral invertase (EC 3.2.1.26),ZEAMMB73_Zm00001d004804,550,A0A096RVL5_F1,AFDB,109.2.1,109.2.1.31,3655298,"76-330,351-535"
alpha superhelices,Repetitive alpha hairpins,alpha/alpha toroid,alpha/alpha toroid,Trehalase,A0A0A2V4B5,nD1,4.3.1.27,Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis),Trehalase (EC 3.2.1.28) (Alpha-trehalose glucohydrolase),PAAG_12308,587,A0A0A2V4B5_F1,AFDB,109.2.1,109.2.1.5,3638252,6-580
a+b two layers,BtrG-like (Pfam 03674),BtrG-like (Pfam 03674),BtrG-like (Pfam 03674),GGACT,A0A0A2V4G7,nD1,4.3.1.27,Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis),gamma-glutamylcyclotransferase (EC 4.3.2.9),PAAG_12296,256,A0A0A2V4G7_F1,AFDB,810.1.1,810.1.1.2,3638738,"51-138,171-250"
a/b three-layered sandwiches,"Phosphoglucomutase, first 3 domains","Phosphoglucomutase, first 3 domains","Phosphoglucomutase, first 3 domains",PGM_PMM_I,A0A0A2V6U8,nD1,4.3.1.27,Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis),"phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent) (EC 5.4.2.2)",PAAG_11415,556,A0A0A2V6U8_F1,AFDB,7528.1.1,7528.1.1.1,3630867,6-180
a/b three-layered sandwiches,Amidase signature (AS) enzymes,Amidase signature (AS) enzymes,Amidase signature (AS) enzymes,Amidase,A0A0A2V753,nD1,4.3.1.27,Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis),amidase (EC 3.5.1.4),PAAG_11341,569,A0A0A2V753_F1,AFDB,7552.1.1,7552.1.1.1,3640037,"6-90,121-565"
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,Alpha-amylase,A0A0B4KGE4,nD1,4.3.1.27,Drosophila melanogaster (Fruit fly),alpha-glucosidase (EC 3.2.1.20),CD98hc cd98hc Dmel\CG2791 RE39378p CG2791 Dmel_CG2791,629,A0A0B4KGE4_F1,AFDB,2002.1.1,2002.1.1.4,3402821,141-530
beta meanders,Carbonic anhydrase,Carbonic anhydrase,Carbonic anhydrase,Carb_anhydrase,A0A0B4LHX0,nD1,4.3.1.27,Drosophila melanogaster (Fruit fly),Carbonic anhydrase (EC 4.2.1.1),CAH16 Dmel\CG18672 CG18672 Dmel_CG18672,286,A0A0B4LHX0_F1,AFDB,62.1.1,62.1.1.1,3391895,26-285
beta complex topology,ETN0001 domain-like,ETN0001 domain-like,Mss4-like,GFA,A0A0D2DAC3,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,Putative glutathione-dependent formaldehyde-activating enzyme (EC 4.4.1.22) (S-(hydroxymethyl)glutathione synthase),Z517_12441,190,A0A0D2DAC3_F1,AFDB,708.1.2,708.1.2.6,3735125,1-190
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,Glyco_hydro_31_2nd,A0A0D2DLF9,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,alpha-glucosidase (EC 3.2.1.20),Z517_08323,826,A0A0D2DLF9_F1,AFDB,2002.1.1,2002.1.1.45,3731359,16-510
beta sandwiches,Glycosyl hydrolase domain-like,supersandwich,supersandwich,Gal_mutarotas_2,A0A0D2DNT6,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,alpha-glucosidase (EC 3.2.1.20) (Glucosidase II subunit alpha),Z517_06018,956,A0A0D2DNT6_F1,AFDB,12.3.1,12.3.1.19,3727346,6-355
a/b three-layered sandwiches,Amidase signature (AS) enzymes,Amidase signature (AS) enzymes,Amidase signature (AS) enzymes,Amidase,A0A0D2DPW0,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,amidase (EC 3.5.1.4),Z517_06421,536,A0A0D2DPW0_F1,AFDB,7552.1.1,7552.1.1.1,3722336,6-535
beta sandwiches,jelly-roll,Galactose-binding domain-like,Galactose-binding domain-like,Glyco_hydro_2_N2,A0A0D2DRB6,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,Beta-mannosidase B (EC 3.2.1.25) (Mannanase B),Z517_07036,894,A0A0D2DRB6_F1,AFDB,10.32.1,10.32.1.88,3726039,6-200
a/b three-layered sandwiches,"Phosphoglucomutase, first 3 domains","Phosphoglucomutase, first 3 domains","Phosphoglucomutase, first 3 domains",PGM_PMM_I,A0A0D2DSA3,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase),Z517_07367,567,A0A0D2DSA3_F1,AFDB,7528.1.1,7528.1.1.1,3729662,41-200
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,Glyco_hydro_3,A0A0D2DTE5,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,beta-glucosidase (EC 3.2.1.21),Z517_04059,836,A0A0D2DTE5_F1,AFDB,2002.1.1,2002.1.1.39,3733536,11-320
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,DAHP_synth_1,A0A0D2DTJ0,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54),Z517_04109,378,A0A0D2DTJ0_F1,AFDB,2002.1.1,2002.1.1.35,3728927,11-370
a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,Esterase,A0A0D2DZQ6,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,S-formylglutathione hydrolase (EC 3.1.2.12),Z517_02536,287,A0A0D2DZQ6_F1,AFDB,7579.1.1,7579.1.1.9,3724516,6-285
a/b three-layered sandwiches,Amidase signature (AS) enzymes,Amidase signature (AS) enzymes,Amidase signature (AS) enzymes,Amidase,A0A0D2E3T3,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,amidase (EC 3.5.1.4),Z517_00139,591,A0A0D2E3T3_F1,AFDB,7552.1.1,7552.1.1.1,3723730,11-585
a+b four layers,Carbon-nitrogen hydrolase-like,Carbon-nitrogen hydrolase,Carbon-nitrogen hydrolase,CN_hydrolase,A0A0D2E4V3,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,nitrilase (EC 3.5.5.1),Z517_00489,332,A0A0D2E4V3_F1,AFDB,246.1.1,246.1.1.1,3726864,6-315
a+b two layers,BtrG-like (Pfam 03674),BtrG-like (Pfam 03674),BtrG-like (Pfam 03674),GGACT,A0A0D2E5S4,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,gamma-glutamylcyclotransferase (EC 4.3.2.9),Z517_00806,296,A0A0D2E5S4_F1,AFDB,810.1.1,810.1.1.2,3735499,"23-115,147-245"
a/b three-layered sandwiches,Amidase signature (AS) enzymes,Amidase signature (AS) enzymes,Amidase signature (AS) enzymes,Amidase,A0A0D2E8A7,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,amidase (EC 3.5.1.4),Z517_01792,556,A0A0D2E8A7_F1,AFDB,7552.1.1,7552.1.1.1,3723674,6-555
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,Glyco_hydro_3,A0A0D2EME6,nD2,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,Probable beta-glucosidase E (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase E) (Cellobiase E) (Gentiobiase E),Z517_10294,959,A0A0D2EME6_F1,AFDB,2002.1.1,2002.1.1.39,3728060,116-490
a/b three-layered sandwiches,PLP-dependent transferases,PLP-dependent transferases,PLP-dependent transferases,Aminotran_3,A0A0D2ENC0,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,4-aminobutyrate aminotransferase (EC 2.6.1.19) (GABA aminotransferase) (Gamma-amino-N-butyrate transaminase),Z517_10627,521,A0A0D2ENC0_F1,AFDB,7577.1.1,7577.1.1.2,3721406,56-465
a/b three-layered sandwiches,PLP-dependent transferases,PLP-dependent transferases,PLP-dependent transferases,Aminotran_1_2,A0A0D2EZ61,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,Aspartate aminotransferase (EC 2.6.1.1),Z517_06246,422,A0A0D2EZ61_F1,AFDB,7577.1.1,7577.1.1.1,3725125,"1-10,31-325"
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,"Glyco_hydro_31_2nd,Gal_mutarotas_2",A0A0D2F4P8,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,alpha-glucosidase (EC 3.2.1.20),Z517_04663,866,A0A0D2F4P8_F1,AFDB,2002.1.1,2002.1.1.46,3734400,6-620
a/b three-layered sandwiches,Glutaminase/Asparaginase N-terminal domain,Glutaminase/Asparaginase N-terminal domain,Glutaminase/Asparaginase N-terminal domain,Asparaginase,A0A0D2F4V8,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,asparaginase (EC 3.5.1.1),Z517_04753,367,A0A0D2F4V8_F1,AFDB,7546.1.1,7546.1.1.1,3722851,31-245
beta sandwiches,Glycosyl hydrolase domain-like,supersandwich,supersandwich,Aldose_epim,A0A0D2F8G5,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,Glucose-6-phosphate 1-epimerase (EC 5.1.3.15),Z517_02120,320,A0A0D2F8G5_F1,AFDB,12.3.1,12.3.1.3,3720654,16-320
a/b three-layered sandwiches,Rossmann-like,Tryptophan synthase beta subunit-like PLP-dependent enzymes,Tryptophan synthase beta subunit-like PLP-dependent enzymes,PALP,A0A0D2FAU2,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,L-serine ammonia-lyase (EC 4.3.1.17),Z517_03003,364,A0A0D2FAU2_F1,AFDB,2003.4.1,2003.4.1.1,3733714,"27-40,61-185"
a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,Rossmann-like domain in dehydroquinate synthase-like enzymes,DHQ_synthase,A0A0D2FBH4,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)],Z517_03203,1617,A0A0D2FBH4_F1,AFDB,2007.1.7,2007.1.7.2,3727222,6-185
a+b four layers,Carbon-nitrogen hydrolase-like,Carbon-nitrogen hydrolase,Carbon-nitrogen hydrolase,CN_hydrolase,A0A0D2FF83,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,nitrilase (EC 3.5.5.1),Z517_00697,326,A0A0D2FF83_F1,AFDB,246.1.1,246.1.1.1,3726311,6-325
a/b three-layered sandwiches,Rossmann-like,Rossmann-related,NAD(P)-binding Rossmann-fold domains,GDP_Man_Dehyd,A0A0D2FIF0,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,UDP-glucose 4-epimerase (EC 5.1.3.2),Z517_01849,373,A0A0D2FIF0_F1,AFDB,2003.1.1,2003.1.1.72,3729524,1-370
a/b three-layered sandwiches,Rossmann-like,Tryptophan synthase beta subunit-like PLP-dependent enzymes,Tryptophan synthase beta subunit-like PLP-dependent enzymes,PALP,A0A0D2G315,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,Cystathionine beta-synthase (EC 4.2.1.22),Z517_11935,543,A0A0D2G315_F1,AFDB,2003.4.1,2003.4.1.1,3730629,6-170
a/b three-layered sandwiches,Amidase signature (AS) enzymes,Amidase signature (AS) enzymes,Amidase signature (AS) enzymes,Amidase,A0A0D2G5R1,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,amidase (EC 3.5.1.4),Z517_12490,534,A0A0D2G5R1_F1,AFDB,7552.1.1,7552.1.1.1,3724768,6-534
a/b three-layered sandwiches,PLP-dependent transferases,PLP-dependent transferases,PLP-dependent transferases,Aminotran_5,A0A0D2G770,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,alanine--glyoxylate transaminase (EC 2.6.1.44),Z517_11320,405,A0A0D2G770_F1,AFDB,7577.1.1,7577.1.1.3,3730164,11-275
a/b three-layered sandwiches,Amidase signature (AS) enzymes,Amidase signature (AS) enzymes,Amidase signature (AS) enzymes,Amidase,A0A0D2GCY0,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,amidase (EC 3.5.1.4),Z517_11256,564,A0A0D2GCY0_F1,AFDB,7552.1.1,7552.1.1.1,3721534,21-564
